,bug_id,fixing_time,fixing_time_since_blocking,fixing_time_since_tracked,tracked_or_blocking,which_blocking
0,1294650,14415745,13444358,12221790,blocking,48^49^50
1,1368231,-1,-1,-1,never,
2,1292582,1556472,-1,-1,never,
4,1339083,205450,193864,195584,blocking,52
5,1219242,440520,-1,367330,tracked,
8,1359443,2928047,-1,-1,never,
9,1235537,823518,-1,819842,tracked,
12,1371387,-1,-1,-1,never,
13,1291736,12508,-1,-1,never,
14,1291738,1118825,1118719,-1,blocking,48
15,1335432,-1,-1,-1,never,
17,1191713,69865355,-1,-1,never,
18,1268470,43362424,395649,431690,blocking,56
19,1292248,502696,-1,-1,never,
20,1345152,-1,-1,-1,never,
21,1346765,-1,-1,-1,tracked,
22,1262348,662787,-1,-4672494,tracked,
24,1367726,12725702,-1,-1,never,
27,1323578,1090,-1,-1,never,
30,1267990,46529957,-1,-1,never,
31,1306563,361483,-1,-1,never,
32,1377511,1653617,-1,-1,never,
33,1317848,182,-1,-1,never,
34,1339304,137862,-1,-1,never,
35,1313085,31032939,-1,24234380,tracked,
36,1340140,-1,-1,-1,never,
37,1295600,15725382,-1,334330,tracked,
38,1195844,1924706,-1,1250416,tracked,
39,1333486,8457032,-1,4144942,tracked,
40,1369361,9105118,-1,256384,tracked,
41,1364792,-1,-1,-1,never,
42,1274630,5089126,-1,1634268,tracked,
43,1251020,-1,-1,-1,never,
44,1310240,9735,-1,-1,never,
45,1253755,58465978,-1,-1,never,
46,1369746,-1,-1,-1,tracked,
47,1376831,9767999,-1,9751650,tracked,
48,1189338,-1,-1,-1,never,
49,1329451,24697207,-1,-1,never,
50,1319632,107655,-1,-1,never,
52,1281803,41592869,-1,-1,never,
53,1311969,5197687,-1,-1,never,
55,1330991,2160772,-1,-1,never,
56,1356637,623001,31107,-202615,blocking,53
57,1330994,24099701,-1,-1,never,
58,1292268,510403,433771,433785,blocking,48
59,1345631,1638243,-1,-1,never,
60,1363317,5753,-1,-1,never,
61,1318858,35881379,-1,-1,never,
62,1347867,-1,-1,-1,blocking,56
64,1216267,44504609,-1,-1,never,
65,1334153,17266876,-1,-1,never,
66,1384327,6106633,-1,5982256,tracked,
67,1347987,23142934,-1,-1,never,
68,1270345,-1,-1,-1,never,
69,1385542,7871156,-1,-1,never,
70,1304783,6930,-1,-1,never,
72,1302343,206548,203980,-1,blocking,48^49
73,1222819,2064506,-1,68995,tracked,
74,1370807,11706205,-1,-1,never,
75,1273015,-1,-1,-1,never,
76,1378424,9165818,-1,-1,never,
77,1225683,67700396,-1,-1,never,
78,1269244,814602,-1,-1,never,
79,1347240,14183159,-1,-1,never,
80,1305001,-1,-1,-1,never,
81,1347243,4326132,-1,-1,never,
82,1313963,222897,-1,-1,never,
83,1322219,27847197,-1,-1,never,
84,1277987,139434,-1,-1,never,
85,1356753,1385217,-1,-1,never,
86,1262787,-1,-1,-1,tracked,
87,1274115,51429,-1,-1,never,
88,1353785,1744113,-1,1653165,tracked,
89,1377416,9715597,-1,-1,never,
90,1335080,10472269,-1,-1,never,
91,1367730,12810555,-1,-1,never,
92,1363332,-1,-1,-1,never,
93,1258879,-1,-1,-1,never,
94,1304434,-1,-1,-1,tracked,
95,1276921,9335570,-1,-1,never,
96,1258874,-1,-1,-1,never,
97,1385830,5699901,-1,-1,never,
98,1362601,3060136,-1,-1,never,
99,1318102,177786,-1,-1,never,
100,1311062,26750552,-1,-1,never,
102,1329994,5519200,-1,5515687,tracked,
103,1360029,15132926,-1,-1,never,
105,1273406,116752,-1,-1,never,
106,1277846,605190,-1,-1,never,
107,1270250,92865,-1,-1,never,
108,1346244,-1,-1,-1,never,
109,1347631,12789058,-1,-1,never,
110,1361410,9611711,-1,1002719,tracked,
111,1285011,40598152,-1,-1,never,
112,1300480,16521032,-1,5366019,tracked,
114,1333857,570621,-1,479936,tracked,
116,1268905,1574244,-1,689046,tracked,
117,1328838,-1,-1,-1,never,
118,1233556,43600883,-1,41950859,tracked,
119,1359576,1379838,-1,-1,never,
120,1277072,716381,-1,-1,never,
121,1290403,-1,-1,-1,tracked,
